0	﻿This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	1
1	We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1
2	After my phone got to be about a year old, it's been slowly breaking despite much care on my part.	0
3	"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  "	1
4	It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	0
5	Would come back again if I had a sushi craving while in Vegas.	1
6	An excellent new restaurant by an experienced Frenchman.	1
7	I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.	1
8	I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0
9	I would not recommend this place.	0
10	I have only had it for a few weeks, but so far, so good.	1
11	Service sucks.	0
12	Utterly without merit on any level, this is akin to torture.  	0
13	Nargile - I think you are great.	1
14	Excellent Phone.	1
15	The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  	0
16	Waste of money.	0
17	And the sound quality is great.	1
18	Great phone.	1
19	The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.	1
20	The attractive set used throughout most of the film is an eye-pleasing gem.  	1
21	Those phones are working just fine now.	1
22	Great Pizza and Salads!	1
23	Great phone!.	1
24	Strike 2, who wants to be rushed.	0
25	Voice recognition is tremendous!	1
26	The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  	1
27	As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  	1
28	Great software for Motorolas.	1
29	I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!	1
30	The voice recognition thru the handset is excellent.	1
31	DO NOT BUY DO NOT BUYIT SUCKS	0
32	I had the chicken Pho and it tasted very bland.	0
33	Restaurant is always full but never a wait.	1
34	Mediocre food.	0
35	Went for lunch - service was slow.	0
36	I'm still trying to get over how bad it was.  	0
37	Have been going since 2007 and every meal has been awesome!!	1
38	The portion was huge!	1
39	I would give this television series a 10 plus if i could.  	1
40	AN HOUR... seriously?	0
41	Nice, spicy and tender.	1
42	I have been very satisfied with this cell phone from day one.	1
43	The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  	0
44	So we went to Tigerlilly and had a fantastic afternoon!	1
45	I do think Tom Hanks is a good actor.  	1
46	"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  "	1
47	I Was Hoping for More.	0
48	This is a VERY average phone with bad battery life that operates on a weak network.	0
49	How awesome is that.	1
50	I hate those things as much as cheap quality black olives.	0
51	Improper description.... I had to return it.	0
52	Does not fit.	0
53	In a most wonderful location lies a story of contrast.  	1
54	Food quality has been horrible.	0
55	I received it quickly and it works great!!	1
56	I was looking for this headset for a long time and now that I've got it I couldn't be happier.	1
57	Camerawork - again, bad.  	0
58	I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.	1
59	I give it 2 thumbs down	0
60	The plantains were the worst I've ever tasted.	0
61	It's hard not to fall head-over-heels in love with that girl.  	1
62	for 40 bucks a head, i really expect better food.	0
63	The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0
64	Great product and price.	1
65	I don't think it would hold it too securly on your belt.	0
66	I especially love the long battery life.	1
67	Looks good in the picture, but this case was a huge disappointment!!	0
68	Really awful.  	0
69	The mic there is a joke, and the volume is quite low.	0
70	"not even a ""hello, we will be right with you."""	0
71	It is very comfortable to wear as well, which is probably the most important aspect about using a case.	1
72	No actress has been worse used that June Allison in this movie.  	0
73	"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  "	1
74	They are so easy to love, but even more easy to identify with.  	1
75	She's poised and amazing.  	1
76	One of the worst shows of all time.  	0
77	Stay Away From the Q!.	0
78	"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  "	0
79	I highly doubt that anyone could ever like this trash.  	0
80	I bought this phone as a replacement for my StarTac and have regretted it since.	0
81	The service was outshining & I definitely recommend the Halibut.	1
82	Rip off---- Over charge shipping.	0
83	Host staff were, for lack of a better word, BITCHES!	0
84	It is PERFECT for a sit-down family meal or get together with a few friends.	1
85	The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  	1
86	I wasn't the least bit interested.  	0
87	If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	0
88	Still Waiting...... I'm sure this item would work well.. if I ever recieve it!	0
89	The food was great as always, compliments to the chef.	1
90	This wonderful experience made this place a must-stop whenever we are in town again.	1
91	Yes it's shiny on front side - and I love it!	1
92	I had a pretty satifying experience.	1
93	Either way, it sucks.  	0
94	This item is great, installed it, let it charged up overnite and it has been working good every since with no problems	1
95	The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	1
96	And the drinks are WEAK, people!	0
97	The incredible soundtrack truly captures the essence of the film.  	1
98	Glad I didn't pay to see it.  	0
99	The Ngage is still lacking in earbuds.	0
100	If there were zero stars I would give it zero stars.	0
101	The directing and the cinematography aren't quite as good.  	0
102	Only had this a month but it's worked flawlessly so far.	1
